2016-12-30 12:41:42.376187|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.13.4 (2016-08-29 12:39:04)
2016-12-30 12:41:42.380188|INFO    |ServerLibPriv |   |SystemInformation: Windows 7 SP1 (7601) x64 (AMD or Intel) Binary: 64bit
2016-12-30 12:41:42.380188|INFO    |ServerLibPriv |   |Using hardware aes
2016-12-30 12:41:42.393188|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2016-12-30 12:41:42.394188|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2016-12-30 12:41:42.404189|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2016-12-30 12:41:42.475193|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2016-12-30 12:41:44.003280|INFO    |              |   |Puzzle precompute time: 1363
2016-12-30 12:41:44.066284|INFO    |FileManager   |   |listening on 0.0.0.0:30033, :::30033
2016-12-30 12:41:44.575313|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-12-30 12:41:44.575313|ERROR   |              |   |Could not open default UDP connection for weblist
2016-12-30 12:41:44.603315|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2016-12-30 12:41:44.604315|INFO    |Query         |   |listening on 0.0.0.0:10011, :::10011
2016-12-30 12:41:44.661318|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-12-30 12:41:44.667318|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-12-30 12:41:44.672319|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-12-30 12:41:44.735322|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-12-30 12:41:44.739323|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-12-30 12:41:44.755323|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
