2017-01-04 09:21:09.209803|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.13.4 (2016-08-29 12:39:04)
2017-01-04 09:21:09.216803|INFO    |ServerLibPriv |   |SystemInformation: Windows 7 SP1 (7601) x64 (AMD or Intel) Binary: 64bit
2017-01-04 09:21:09.216803|INFO    |ServerLibPriv |   |Using hardware aes
2017-01-04 09:21:09.230804|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2017-01-04 09:21:09.231804|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2017-01-04 09:21:09.237805|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2017-01-04 09:21:09.285807|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2017-01-04 09:21:11.105912|INFO    |              |   |Puzzle precompute time: 1548
2017-01-04 09:21:11.122912|INFO    |FileManager   |   |listening on 0.0.0.0:30033, :::30033
2017-01-04 09:21:11.254920|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.254920|ERROR   |              |   |Could not open default UDP connection for weblist
2017-01-04 09:21:11.285922|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2017-01-04 09:21:11.287922|INFO    |Query         |   |listening on 0.0.0.0:10011, :::10011
2017-01-04 09:21:11.315924|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.320924|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.324924|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.331924|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.335925|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.339925|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.345925|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.349925|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.353926|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2017-01-04 09:21:11.359926|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
