2016-11-26 11:42:18.097872|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.0.13.4 (2016-08-29 12:39:04)
2016-11-26 11:42:18.100872|INFO    |ServerLibPriv |   |SystemInformation: Windows 7 SP1 (7601) x64 (AMD or Intel) Binary: 64bit
2016-11-26 11:42:18.101872|INFO    |ServerLibPriv |   |Using hardware aes
2016-11-26 11:42:18.110872|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2016-11-26 11:42:18.111873|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2016-11-26 11:42:18.119873|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2016-11-26 11:42:18.157875|WARNING |Accounting    |   |Unable to find valid license key, falling back to limited functionality
2016-11-26 11:42:19.228936|INFO    |              |   |Puzzle precompute time: 996
2016-11-26 11:42:19.231937|INFO    |FileManager   |   |listening on 0.0.0.0:30033, :::30033
2016-11-26 11:42:19.254938|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-11-26 11:42:19.254938|ERROR   |              |   |Could not open default UDP connection for weblist
2016-11-26 11:42:19.265939|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2016-11-26 11:42:19.265939|INFO    |Query         |   |listening on 0.0.0.0:10011, :::10011
2016-11-26 11:42:19.332942|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-11-26 11:42:19.337943|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-11-26 11:42:19.342943|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
2016-11-26 11:42:19.347943|ERROR   |              |   |TS3ANetwork::ResolveHostName failed error: 11004 (Požadovaný názov je platný, no nenašli sa žiadne údaje požadovaného typu. ) 11004
